Product A,Product B,Cosine Similarity
Aromatherapy Car Air Freshener Llama,Tesco Carded New Car Air Freshener,0.6682538269311641
Tesco Carded Ice Air Freshener,Tesco Carded New Car Air Freshener,0.6658505622610529
Bondi Sands Aero Self Tanning Foam 225Ml,Bondi Sands Liquid Gold Tan Oil 270Ml,0.665710952514237
Tesco Decorating Caulk 300Ml,Tesco All Purpose Ready Mixed Filler 750G Tub,0.6596611176965982
Tesco Numerical Candle 1,Tesco 3Pc Microfibre Cloths 3 Pack,0.657229260042877
Command Small Hooks Value Pack 6 Pc,Command Clear Utensil Hooks 3 Hook 4 Strips,0.6474267128326894
Bondi Sands 1 Hour Express Foam 225Ml,Bondi Sands Liquid Gold Tan Oil 270Ml,0.6406065928326232
Tesco Crystal Balloons 10 Pack,Tesco Pearlised Black Balloons 10 Pack,0.6371075258249376
Tesco Numerical Candle 1,Tesco 2Pc Microfibre Washndry,0.6365961805892608
Tesco Heart Balloons 10 Pack,Tesco Blue Balloons 15Pk,0.6364879279625608
Tesco Heart Balloons 10 Pack,Tesco Pearlised Black Balloons 10 Pack,0.6361725895315845
Tesco Heart Balloons 10 Pack,Tesco Pink Balloons 15Pk,0.6358160801892718
Tesco Crystal Balloons 10 Pack,Tesco Purple Balloons 15Pk,0.6344499033301236
Tesco Age 30 Balloons 6 Pack,Tesco Blue Balloons 15Pk,0.634134136358795
Tesco Pearlised Black Balloons 10 Pack,Tesco Silver Balloons 10 Pack,0.6339750626465273
Tesco Heart Balloons 10 Pack,Tesco Purple Balloons 15Pk,0.6334680136412604
Tesco Age 30 Balloons 6 Pack,Tesco Pink Balloons 15Pk,0.6334647731411093
Tesco Crystal Balloons 10 Pack,Tesco Blue Balloons 15Pk,0.6334433073888428
Tesco Crystal Balloons 10 Pack,Tesco Pink Balloons 15Pk,0.6327746733788682
Tesco Age 40 Balloons 6 Pack,Tesco Blue Balloons 15Pk,0.6324117326173009
Tesco Age 18 Balloons 6 Pack,Tesco Blue Balloons 15Pk,0.6324117326173009
Tesco Age 18 Balloons 6 Pack,Tesco Pink Balloons 15Pk,0.6317441874908428
Tesco Age 40 Balloons 6 Pack,Tesco Pink Balloons 15Pk,0.6317441874908428
Tesco Purple Balloons 15Pk,Tesco Silver Balloons 10 Pack,0.6313305068700765
Tesco Neon Balloons 10 Pack,Tesco Pearlised Black Balloons 10 Pack,0.6312912537164306
Tesco Age 30 Balloons 6 Pack,Tesco Purple Balloons 15Pk,0.6311253899617573
